Регион;2017;2018;2019;2020;2021;2022
Российская Федерация;76285,4;76190,1;75397,9;74922,7;75349,9;74924,2
Центральный федеральный округ;21332,8;21389,3;21335,7;21231,9;21293,2;21152,2
Белгородская область;824,4;825,2;826,4;833,7;829,2;825,3
Брянская область;613,4;610,5;595,1;583,4;588,9;580,6
Владимирская область;732,9;722,2;721,3;710,3;707,0;714,8
Воронежская область;1178,8;1185,1;1182,1;1172,0;1182,9;1186,7
Ивановская область;543,7;525,1;516,7;514,0;526,0;517,6
Калужская область;538,5;550,0;537,2;539,2;543,6;537,2
Костромская область;327,0;317,8;309,7;309,7;308,3;306,8
Курская область;572,5;573,9;569,3;556,5;566,8;554,3
Липецкая область;598,7;601,8;597,5;596,1;598,0;595,9
Московская область;4097,5;4150,3;4189,4;4153,7;4139,4;4151,2
Орловская область;379,9;369,6;347,0;349,6;350,1;343,6
Рязанская область;540,6;529,3;535,5;516,7;520,8;526,8
Смоленская область;522,6;510,0;482,5;476,9;480,4;481,1
Тамбовская область;516,2;507,2;499,5;499,5;501,9;502,8
Тверская область;688,0;684,9;675,6;656,0;645,3;635,3
Тульская область;791,8;793,5;793,2;792,5;794,2;790,0
Ярославская область;671,3;665,1;649,7;650,1;659,6;642,7
г. Москва;7195,0;7267,8;7308,0;7322,0;7350,8;7259,6
Северо-Западный федеральный округ;7574,2;7517,2;7477,8;7439,6;7484,2;7480,8
Республика Карелия;319,3;311,6;305,4;299,3;295,0;293,4
Республика Коми;445,2;440,8;427,8;414,9;408,8;401,0
Ненецкий автономный округ;22,2;22,2;22,7;21,9;23,3;24,3
Архангельская область ;567,9;553,0;535,5;522,9;529,1;523,0
Вологодская область;585,8;577,2;566,4;570,3;556,5;551,3
Калининградская область;520,3;526,1;537,3;531,0;540,9;545,2
Ленинградская область;989,7;971,2;969,4;981,5;998,1;1056,6
Мурманская область;440,1;424,0;421,3;410,5;413,1;395,6
Новгородская область;315,8;310,8;302,5;288,3;298,5;287,1
Псковская область;319,3;319,2;316,4;301,7;315,0;308,0
г.Санкт-Петербург;3048,6;3061,1;3073,1;3097,3;3106,0;3095,3
Южный федеральный округ;8198,0;8221,1;8126,9;8161,8;8202,1;8198,2
Республика Адыгея;200,1;200,6;200,6;201,6;202,0;202,5
Республика Калмыкия;140,3;137,8;132,8;135,4;134,9;135,1
Республика Крым;915,8;902,6;918,0;925,3;928,0;912,5
Краснодарский край;2785,5;2822,3;2806,6;2821,0;2819,8;2788,9
Астраханская область;537,2;513,4;507,0;503,0;504,6;507,3
Волгоградская область;1273,6;1292,4;1242,8;1247,4;1248,7;1240,6
Ростовская область;2143,0;2132,5;2097,0;2110,6;2132,7;2147,1
г. Севастополь;202,3;219,6;222,1;217,5;231,5;264,3
Северо-Кавказский федеральный округ;4577,1;4664,9;4618,5;4514,7;4641,6;4732,9
Республика Дагестан;1362,5;1385,3;1382,1;1286,8;1369,3;1432,5
Республика Ингушетия;255,9;252,7;258,6;260,9;266,3;278,1
Кабардино-Балкарская Республика;437,7;451,3;446,4;453,2;451,8;449,2
Карачаево-Черкесская Республика;210,8;215,2;203,6;204,4;212,4;217,7
Республика Северная Осетия - Алания;334,1;353,9;310,8;285,2;313,0;320,5
Чеченская Республика;622,6;629,4;634,4;652,8;653,9;654,9
Ставропольский край;1353,5;1377,2;1382,7;1371,5;1374,9;1380,1
Приволжский федеральный округ;15217,4;15069,7;14772,6;14644,8;14748,8;14629,7
Республика Башкортостан;1995,0;1955,3;1895,9;1900,9;1912,8;1917,8
Республика Марий Эл;347,5;331,0;333,6;326,0;330,3;323,3
Республика Мордовия;438,5;421,0;437,6;404,6;422,2;434,7
Республика Татарстан;2043,9;2037,2;2036,1;2026,4;2031,2;2028,1
Удмуртская Республика;790,0;781,7;763,0;769,6;760,1;739,2
Чувашская Республика;627,2;619,5;608,3;604,4;608,4;594,5
Пермский край;1282,1;1265,1;1225,0;1231,6;1244,1;1217,8
Кировская область;672,1;667,1;636,6;631,9;630,7;618,2
Нижегородская область;1772,6;1760,1;1753,8;1737,3;1738,2;1732,4
Оренбургская область;1013,9;1010,6;930,0;933,4;945,1;924,8
Пензенская область;673,2;684,9;655,5;640,1;663,8;630,6
Самарская область;1720,3;1714,0;1683,0;1675,6;1683,6;1664,6
Саратовская область;1199,8;1196,5;1203,2;1164,4;1169,0;1189,1
Ульяновская область;641,4;625,8;610,9;598,6;609,4;614,6
Уральский федеральный округ;6392,9;6366,4;6321,7;6286,8;6303,0;6190,3
Курганская область;402,8;384,5;365,0;371,0;364,6;364,0
Свердловская область;2179,1;2149,1;2124,5;2109,1;2120,7;2087,2
"
Ханты-Мансийский автономный округ - Югра";916,8;917,0;914,9;911,6;916,9;911,4
Ямало-Ненецкий автономный округ;313,4;314,9;315,5;309,0;317,0;315,5
Тюменская область ;717,6;726,0;727,1;731,4;730,0;726,7
Челябинская область;1863,3;1874,9;1874,7;1854,6;1853,7;1785,5
Сибирский федеральный округ;8666,6;8642,2;8525,2;8411,6;8453,5;8368,2
Республика Алтай;98,8;96,2;95,0;98,6;97,3;95,0
Республика Тыва;126,7;127,4;116,9;130,7;127,0;129,4
Республика Хакасия;259,4;255,6;246,0;240,6;254,5;255,3
Алтайский край;1132,2;1155,7;1139,9;1099,4;1111,7;1162,9
Красноярский край;1497,4;1494,6;1481,6;1460,8;1462,6;1410,4
Иркутская область;1212,8;1184,4;1167,2;1152,9;1149,7;1154,3
Кемеровская область;1339,3;1319,0;1291,2;1276,3;1264,6;1246,9
Новосибирская область;1433,1;1433,0;1430,2;1394,2;1436,4;1395,8
Омская область;1033,6;1029,1;1015,8;1021,3;1003,3;984,1
Томская область;533,3;547,2;541,4;536,8;546,3;534,0
Дальневосточный федеральный округ;4326,4;4319,3;4219,6;4231,6;4223,5;4171,8
Республика Бурятия;441,3;455,2;433,2;427,0;432,8;426,1
Республика Саха (Якутия);498,9;500,5;501,4;501,6;500,6;502,8
Забайкальский край;534,8;532,0;525,4;524,1;523,2;509,4
Камчатский край;179,5;179,4;181,7;181,5;181,3;177,5
Приморский край;1039,0;1039,7;998,6;1001,8;1002,8;983,3
Хабаровский край;736,3;728,4;702,5;721,3;710,4;705,4
Амурская область;414,7;409,7;407,8;403,4;401,9;402,4
Магаданская область;91,1;87,9;85,8;85,9;87,0;83,7
Сахалинская область;277,0;277,0;274,7;275,7;275,1;274,3
Еврейская автономная область;82,6;79,3;77,5;78,1;77,0;77,0
Чукотский автономный округ;31,3;30,4;31,1;31,0;31,3;30,0
;;;;;;
;;;;;;
;;;;;;
